"Gene.stable.ID","Gene.name"
"ENSMUSG00000100469","Gm28895"
"ENSMUSG00000100821","Gm28894"
"ENSMUSG00000101058","Gm21829"
"ENSMUSG00000099790","Gm28457"
"ENSMUSG00000100187","Gm29324"
"ENSMUSG00000101962","Gm28741"
"ENSMUSG00000100598","Gm28742"
"ENSMUSG00000100011","Gm28458"
"ENSMUSG00000100879","Gm28743"
"ENSMUSG00000101675","Gm28461"
"ENSMUSG00000099480","Gm28124"
"ENSMUSG00000100499","Gm28460"
"ENSMUSG00000100298","Gm28126"
"ENSMUSG00000100256","Gm28851"
"ENSMUSG00000101201","Gm28125"
"ENSMUSG00000101003","Gm28456"
"ENSMUSG00000100628","Gm29648"
"ENSMUSG00000100268","Gm29468"
"ENSMUSG00000100003","Gm29646"
"ENSMUSG00000101343","Gm29469"
"ENSMUSG00000101907","Gm29472"
"ENSMUSG00000099462","Gm28549"
"ENSMUSG00000100035","Gm29473"
"ENSMUSG00000101434","Gm29211"
"ENSMUSG00000100061","Gm29212"
"ENSMUSG00000100861","Gm29382"
"ENSMUSG00000100317","Gm28224"
"ENSMUSG00000101138","Gm29210"
"ENSMUSG00000101329","Gm28226"
"ENSMUSG00000100871","Gm29213"
"ENSMUSG00000100532","Gm28225"
"ENSMUSG00000100716","Gm28550"
"ENSMUSG00000100325","Gm28604"
"ENSMUSG00000101772","Gm28829"
"ENSMUSG00000099667","Gm21901"
"ENSMUSG00000099789","Gm28565"
"ENSMUSG00000099593","Gm28566"
"ENSMUSG00000101109","Gm28697"
"ENSMUSG00000101582","Gm28828"
"ENSMUSG00000101541","Gm28554"
"ENSMUSG00000101273","Gm28831"
"ENSMUSG00000101508","Gm28832"
"ENSMUSG00000101884","Gm28658"
"ENSMUSG00000100906","Gm29238"
"ENSMUSG00000100852","Gm29056"
"ENSMUSG00000100092","Gm21088"
"ENSMUSG00000100284","Gm29239"
"ENSMUSG00000099532","Gm29098"
"ENSMUSG00002075613","Gm54343"
"ENSMUSG00000102054","Gm29373"
"ENSMUSG00002076259","Gm54344"
"ENSMUSG00000101131","Gm29370"
"ENSMUSG00000099339","Gm21751"
"ENSMUSG00000100740","Gm29476"
"ENSMUSG00000099674","Gm29166"
"ENSMUSG00000100718","Gm21717"
"ENSMUSG00000101069","Gm28194"
"ENSMUSG00000100023","Gm28753"
"ENSMUSG00000100531","Gm28475"
"ENSMUSG00000099483","Gm28476"
"ENSMUSG00000100646","Gm28193"
